id,Museum,address,votes,link,Zipcode
0,Alte Pinakothek,Barer Str. 27,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119226.html,80799
1,Artothek & Bildersaal,Rosental 16,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/130856.html,80331
2,Bauernhof- und Wintersportmuseum Schliersee,Brunnbichl 5,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120216.html,83727
3,Bayerische Staatsbibliothek,Ludwigstr. 16,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/130650.html,80539
4,Bayerisches Nationalmuseum,Prinzregentenstr. 3,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119174.html,80538
5,Bier- und Oktoberfestmuseum,Sterneckerstr. 2,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120460.html,80331
6,BMW Museum,Am Olympiapark 2,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119244.html,80809
7,Botanischer Garten,Menzinger Str. 65,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120268.html,80638
8,Buchheim Museum,Am Hirschgarten 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120212.html,82347
9,DenkStätte Weiße Rose,Geschwister-Scholl-Platz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119184.html,80539
10,Deutsches Museum,Museumsinsel 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119223.html,80538
11,Deutsches Museum - Verkehrszentrum,Am Bavariapark 5,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/146572.html,80339
12,Deutsches Museum Kinderreich,Museumsinsel 1,3,https://www.muenchen.de/freizeit/orte/226139.html,80306
13,Flugwerft Schleißheim,Effnerstr. 18,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/119213.html,85764
14,Haus der Kunst,Prinzregentenstr. 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/119214.html,80538
15,Jagd- und Fischereimuseum,Neuhauser Str. 2,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119221.html,80331
16,Jüdisches Museum,St.-Jakobs-Platz 16,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/130997.html,80331
17,Kindermuseum,Arnulfstr. 3,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119179.html,80335
18,Kunstarkaden,Sparkassenstr. 3,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119171.html,80331
19,Kunstbau der Städtischen Galerie im Lenbachhaus,Königsplatz / U-Bahn-Zwischengeschoss,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/140089.html,80333
20,Kunsthalle,Theatinerstr. 8,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119162.html,80333
21,KZ-Gedenkstätte Dachau,Pater-Roth-Str. 2a,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120211.html,85221
22,Münchner Feuerwehrmuseum,An der Hauptfeuerwache 8,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119232.html,80331
23,Münchner Kaiserburg,Alter Hof 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119238.html,80331
24,Münchner Stadtmuseum,St.-Jakobs-Platz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120463.html,80331
25,Museum Ägyptischer Kunst,Arcisstr. 16,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/119205.html,80333
26,Museum Brandhorst,Theresienstr. 35a,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119302.html,80333
27,Museum für Abgüsse,Katharina-von-Bora-Str. 10,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119166.html,80333
28,Museum of Urban and Contemporary Art (MUCA),Hotterstr. 12,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/1265055.html,80331
29,Museum Reich der Kristalle,Theresienstr. 41,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119229.html,80333
30,MVG Museum,Ständlerstr. 20,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/119243.html,81549
31,Neue Pinakothek,Barer Str. 29,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119199.html,80799
32,Neues Schloss Schleißheim,Max-Emanuel-Platz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120417.html,85764
33,Paläontologisches Museum,Richard-Wagner-Str. 10,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119217.html,80333
34,Pinakothek der Moderne,Barer Str. 40,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/119172.html,80333
35,Residenz,Residenzstr. 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120423.html,80333
36,Residenzmuseum und Schatzkammer,Residenzstr. 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/119149.html,80333
37,Sammlung Goetz,Oberföhringer Str. 103,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119212.html,81925
38,Spielzeugmuseum,Marienplatz 15,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119188.html,80331
39,Valentin Karlstadt Musäum,Tal 50,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119176.html,80331
40,Villa Stuck,Prinzregentenstr. 60,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120426.html,81675
41,Bürgersaalkirche,Neuhauser Str. 14,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120360.html,80333
42,Kunstfoyer,Maximilianstr. 53,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/146272.html,80538
43,Lenbachhaus,Luisenstr. 33,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/130192.html,80333
44,Lothringer13 Halle,Lothringer Str. 13,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/130857.html,81667
45,Museum Fünf Kontinente,Maximilianstr. 42,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/127529.html,80538
46,Museum Mensch und Natur,Schloss Nymphenburg,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/119189.html,80638
47,NS-Dokumentationszentrum,Max-Mannheimer-Platz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/1245649.html,80333
48,Pinakotheken,,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/249886.html, Münc
49,Rathausgalerie | Kunsthalle,Marienplatz 8,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/130861.html,80331
